Date = 2017-04-01 ; user = Rushabh ; Software = ASUS FlipLock
Date = 2017-04-01 ; user = Rushabh ; Software = ASUS PTP Driver
Date = 2017-04-01 ; user = Rushabh ; Software = ASUS Splendid Video Enhancement Technology
Date = 2017-04-01 ; user = Rushabh ; Software = ASUS USB Charger Plus
Date = 2017-04-01 ; user = Rushabh ; Software = ATK Package
Date = 2017-04-01 ; user = Rushabh ; Software = Alcor Micro USB Card Reader Driver
Date = 2017-04-01 ; user = Rushabh ; Software = AudioWizard
Date = 2017-04-01 ; user = Rushabh ; Software = Conexant HD Audio
Date = 2017-04-01 ; user = Rushabh ; Software = CorporateClientSetup
Date = 2017-04-01 ; user = Rushabh ; Software = Dev-C++
Date = 2017-04-01 ; user = Rushabh ; Software = GlassFish Server Open Source Edition 4.1.1
Date = 2017-04-01 ; user = Rushabh ; Software = Google Chrome
Date = 2017-04-01 ; user = Rushabh ; Software = Google Update Helper
Date = 2017-04-01 ; user = Rushabh ; Software = ISS_Drivers_x64
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) Chipset Device Software
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) Dynamic Platform and Thermal Framework
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) ME UninstallLegacy
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) Management Engine Components
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) PRO/Wireless Driver
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) Processor Graphics
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) Serial IO
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) WiDi
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) WiDi Software Asset Manager
Date = 2017-04-01 ; user = Rushabh ; Software = Intel(R) Wireless Bluetooth(R)
Date = 2017-04-01 ; user = Rushabh ; Software = Intel® Integrated Sensor Solution
Date = 2017-04-01 ; user = Rushabh ; Software = Intel® PROSet/Wireless Software
Date = 2017-04-01 ; user = Rushabh ; Software = Intel® PROSet/Wireless WiFi Software
Date = 2017-04-01 ; user = Rushabh ; Software = Intel® Trusted Connect Service Client
Date = 2017-04-01 ; user = Rushabh ; Software = Java 8 Update 102 (64-bit)
Date = 2017-04-01 ; user = Rushabh ; Software = Java Auto Updater
Date = 2017-04-01 ; user = Rushabh ; Software = Java SE Development Kit 8 Update 102 (64-bit)
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Office Professional Plus 2016 - en-us
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visio Professional 2016 - en-us
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030
Date = 2017-04-01 ; user = Rushabh ; Software = Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030
Date = 2017-04-01 ; user = Rushabh ; Software = NetBeans IDE 8.2
Date = 2017-04-01 ; user = Rushabh ; Software = Notepad++ (64-bit x64)
Date = 2017-04-01 ; user = Rushabh ; Software = Office 16 Click-to-Run Extensibility Component
Date = 2017-04-01 ; user = Rushabh ; Software = Office 16 Click-to-Run Licensing Component
Date = 2017-04-01 ; user = Rushabh ; Software = Office 16 Click-to-Run Localization Component
Date = 2017-04-01 ; user = Rushabh ; Software = SourceTree
Date = 2017-04-01 ; user = Rushabh ; Software = WinFlash
Date = 2017-04-01 ; user = Rushabh ; Software = WinRAR 5.20 (64-bit)
