Date = 2017-04-02 ; User = Neel Patel ; Software = 7-Zip 9.20 ; Version =  ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version =  ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = Dev-C++ ; Version = 5.11 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 5.11 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = Google Chrome ; Version = 57.0.2987.110 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 57.0.2987.110 ; InstallDate = 2017-03-21
Date = 2017-04-02 ; User = Neel Patel ; Software = Lenovo YouCam ; Version = 3.1.3728 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 3.1.3728 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Lenovo OneKey Recovery ; Version = 7.0.0.3712 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 7.0.0.3712 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = Lenovo CAPOSD ; Version = 1.0.0.6 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 1.0.0.6 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Energy Management ; Version = 7.0.4.1 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 7.0.4.1 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Onekey Theater ; Version = 2.0.2.9 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 2.0.2.9 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Malwarebytes Anti-Malware version 2.2.1.1043 ; Version = 2.2.1.1043 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 2.2.1.1043 ; InstallDate = 2017-03-21
Date = 2017-04-02 ; User = Neel Patel ; Software = SourceTree ; Version = 1.8.3 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 1.8.3 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = VeriFace ; Version = 4.0.1.1230 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 4.0.1.1230 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = VLC media player ; Version = 2.2.1 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 2.2.1 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = Windows Live Essentials ; Version = 15.4.3508.1109 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 15.4.3508.1109 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = Lenovo YouCam ; Version = 3.1.3728 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 3.1.3728 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 ; Version = 12.0.30501.0 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 12.0.30501.0 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = MySQL Installer - Community ; Version = 1.4.18.0 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 1.4.18.0 ; InstallDate = 2017-04-02
Date = 2017-04-02 ; User = Neel Patel ; Software = MySQL Examples and Samples 5.7 ; Version = 5.7.17 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 5.7.17 ; InstallDate = 2017-04-02
Date = 2017-04-02 ; User = Neel Patel ; Software = MySQL Documents 5.7 ; Version = 5.7.17 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 5.7.17 ; InstallDate = 2017-04-02
Date = 2017-04-02 ; User = Neel Patel ; Software = Windows Live Installer ; Version = 15.4.3502.0922 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 15.4.3502.0922 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Lenovo MuteSync ; Version = 1.0.10 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 1.0.10 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Windows Live Movie Maker ; Version = 15.4.3502.0922 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 15.4.3502.0922 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Junk Mail filter update ; Version = 15.4.3502.0922 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 15.4.3502.0922 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = Python 3.5.2 Documentation (32-bit) ; Version = 3.5.2150.0 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 3.5.2150.0 ; InstallDate = 2017-03-21
Date = 2017-04-02 ; User = Neel Patel ; Software = Windows Live SOXE Definitions ; Version = 15.4.3502.0922 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 15.4.3502.0922 ; InstallDate = 2012-07-13
Date = 2017-04-02 ; User = Neel Patel ; Software = CorporateClientSetup ; Version =  ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version =  ; InstallDate = 2017-03-24
Date = 2017-04-02 ; User = Neel Patel ; Software = Intel(R) USB 3.0 eXtensible Host Controller Driver ; Version = 1.0.5.235 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 1.0.5.235 ; InstallDate = null
Date = 2017-04-02 ; User = Neel Patel ; Software = Windows Live Mesh ActiveX Control for Remote Connections ; Version = 15.4.5722.2 ; Ip = 10.21.1.125 ; Mac = 08-9E-01-04-13-87 ; Version = 15.4.5722.2 ; InstallDate = 2012-07-13
